date,total_balance,pnl,daily_pct,equity,opened_bucket,active_buckets,invested_ratio,topk_generated,pnl_from_hold
2024-11-06,3497665.016308562,131122.37688282412,0.038948675518689066,3.497665016308562,1,4,1.0,10,132069.9255823741
2024-11-07,3511912.463273333,14247.446964771021,0.004073416664643256,3.5119124632733327,2,4,1.0,10,15254.185151911923
2024-11-08,3624794.4086010717,112881.94532773877,0.032142585132240276,3.6247944086010717,3,4,1.0,10,113674.24894341023
2024-11-11,3528041.189400759,-96753.21920031263,-0.026692057064183372,3.528041189400759,0,4,1.0,10,-96004.83000168519
2024-11-12,3576070.1238761656,48028.93447540654,0.013613484621352819,3.5760701238761654,1,4,1.0,10,49009.3117493497
2024-11-13,3495110.5789049068,-80959.54497125885,-0.022639249837613746,3.4951105789049066,2,4,1.0,10,-79961.49833090836
2024-11-14,3441900.3946781093,-53210.18422679743,-0.015224177611991126,3.4419003946781093,3,4,1.0,10,-52470.13138541044
2024-11-15,3449057.8562439624,7157.4615658530965,0.0020795086275361176,3.449057856243962,0,4,1.0,10,7883.330962538021
2024-11-18,3424310.272309648,-24747.58393431455,-0.0071751721675277335,3.424310272309648,1,4,1.0,10,-23791.808292996953
2024-11-19,3434930.5998754967,10620.327565848827,0.003101450137777839,3.434930599875497,2,4,1.0,10,11626.124384109047
2024-11-20,3478791.5222114823,43860.92233598558,0.012769085447483387,3.4787915222114822,3,4,1.0,10,44612.85167738784
2024-11-21,3374103.298265737,-104688.22394574527,-0.030093273275311,3.374103298265737,0,4,1.0,10,-103975.10779697029
2024-11-22,3371009.791971462,-3093.5062942751683,-0.0009168380517173871,3.3710097919714617,1,4,1.0,10,-2146.5666056467453
2024-11-25,3345959.6652833913,-25050.126688070595,-0.007431045364427901,3.345959665283391,2,4,1.0,10,-24077.869922867394
2024-11-26,3427902.121243192,81942.45595980063,0.024489971236058037,3.427902121243192,3,4,1.0,10,82684.77099023317
2024-11-27,3419389.710795548,-8512.41044764407,-0.002483271151440254,3.419389710795548,0,4,1.0,10,-7784.486763644265
2024-11-28,3469410.3058574228,50020.59506187495,0.014628515405527516,3.469410305857423,1,4,1.0,10,50993.4218204167
2024-11-29,3497409.9944183473,27999.688560924493,0.008070446010278023,3.4974099944183474,2,4,1.0,10,29005.35522267467
2024-12-02,3485337.129235652,-12072.865182695445,-0.0034519444966312216,3.485337129235652,3,4,1.0,10,-11323.615900825593
2024-12-03,3489675.7960318355,4338.666796183679,0.00124483418255013,3.4896757960318356,0,4,1.0,10,5080.704523288412
2024-12-04,3482504.8495245054,-7170.946507330053,-0.002054903356777225,3.4825048495245055,1,4,1.0,10,-6194.734978780267
2024-12-05,3515520.1243834533,33015.27485894784,0.009480324159047671,3.5155201243834533,2,4,1.0,10,34037.89369545353
2024-12-06,3558130.1097936165,42609.98541016318,0.012120535198937613,3.5581301097936167,3,4,1.0,10,43366.74783185532
